"site","month","year","t.start","t.end","doy.start","precip"
"sandyloam","may",2003,2003-05-22 07:43:00,2003-05-23 11:22:00,142,0
"sandyloam","may",2003,2003-05-23 11:22:00,2003-05-24 08:48:00,143,0
"sandyloam","may",2003,2003-05-24 08:48:00,2003-05-25 16:55:00,144,0
"sandyloam","june",2003,2003-06-17 09:17:00,2003-06-17 09:46:00,168,0
"sandyloam","june",2003,2003-06-17 09:46:00,2003-06-17 10:15:00,168,0
"sandyloam","june",2003,2003-06-17 10:15:00,2003-06-17 11:16:00,168,0
"sandyloam","june",2003,2003-06-17 11:16:00,2003-06-17 12:16:00,168,0
"sandyloam","june",2003,2003-06-17 12:16:00,2003-06-17 13:17:00,168,0
"sandyloam","june",2003,2003-06-17 13:17:00,2003-06-17 15:11:00,168,0
"sandyloam","june",2003,2003-06-17 15:11:00,2003-06-17 17:11:00,168,0
"sandyloam","june",2003,2003-06-17 17:11:00,2003-06-17 20:53:00,168,0
"sandyloam","june",2003,2003-06-17 20:53:00,2003-06-18 05:23:00,168,0
"sandyloam","june",2003,2003-06-18 05:23:00,2003-06-18 11:17:00,169,0
"sandyloam","june",2003,2003-06-18 11:17:00,2003-06-18 16:11:00,169,0
"sandyloam","june",2003,2003-06-18 16:11:00,2003-06-19 05:11:00,169,0
"sandyloam","june",2003,2003-06-19 05:11:00,2003-06-19 11:41:00,170,0
"sandyloam","june",2003,2003-06-19 11:41:00,2003-06-19 15:11:00,170,0
"sandyloam","june",2003,2003-06-19 15:11:00,2003-06-20 05:29:00,170,0
"sandyloam","june",2003,2003-06-20 05:29:00,2003-06-20 11:17:00,171,0
"sandyloam","june",2003,2003-06-20 11:17:00,2003-06-20 15:47:00,171,0
"sandyloam","june",2003,2003-06-20 15:47:00,2003-06-21 06:17:00,171,0
"sandyloam","june",2003,2003-06-21 06:17:00,2003-06-21 19:35:00,172,0
"sandyloam","june",2003,2003-06-21 19:35:00,2003-06-22 20:05:00,172,0
"sandyloam","june",2003,2003-06-22 20:05:00,2003-06-23 11:17:00,173,0
"sandyloam","june",2003,2003-06-23 11:17:00,2003-06-25 11:35:00,174,0
"sandyloam","june",2003,2003-06-25 11:35:00,2003-06-27 09:53:00,176,0
