site,month,year,t.start,t.end
SandyLoam,june,2002,02-07-2002 00:12,03-07-2002 19:54
SandyLoam,june,2003,17-06-2003 09:17,17-06-2003 09:46
SandyLoam,june,2003,17-06-2003 09:46,17-06-2003 10:15
SandyLoam,june,2003,17-06-2003 10:15,17-06-2003 11:16
SandyLoam,june,2003,17-06-2003 11:16,17-06-2003 12:16
SandyLoam,june,2003,17-06-2003 12:16,17-06-2003 13:17
SandyLoam,june,2003,17-06-2003 13:17,17-06-2003 15:11
SandyLoam,june,2003,17-06-2003 15:11,17-06-2003 17:11
SandyLoam,june,2003,17-06-2003 17:11,17-06-2003 20:53
SandyLoam,june,2003,17-06-2003 20:53,18-06-2003 05:23
SandyLoam,june,2003,18-06-2003 05:23,18-06-2003 11:17
SandyLoam,june,2003,18-06-2003 11:17,18-06-2003 16:11
SandyLoam,june,2003,18-06-2003 16:11,19-06-2003 05:11
SandyLoam,june,2003,19-06-2003 05:11,19-06-2003 11:41
SandyLoam,june,2003,19-06-2003 11:41,19-06-2003 15:11
SandyLoam,june,2003,19-06-2003 15:11,20-06-2003 05:29
SandyLoam,june,2003,20-06-2003 05:29,20-06-2003 11:17
SandyLoam,june,2003,20-06-2003 11:17,20-06-2003 15:47
SandyLoam,june,2003,20-06-2003 15:47,21-06-2003 06:17
SandyLoam,june,2003,21-06-2003 06:17,21-06-2003 19:35
SandyLoam,june,2003,21-06-2003 19:35,22-06-2003 20:05
SandyLoam,june,2003,22-06-2003 20:05,23-06-2003 11:17
SandyLoam,june,2003,23-06-2003 11:17,25-06-2003 11:35
SandyLoam,june,2003,25-06-2003 11:35,27-06-2003 09:53
SandyLoam,may,2001,23-05-2001 09:36,23-05-2001 10:06
SandyLoam,may,2001,23-05-2001 10:06,23-05-2001 10:36
SandyLoam,may,2001,23-05-2001 10:36,23-05-2001 11:06
SandyLoam,may,2001,23-05-2001 11:06,23-05-2001 11:51
SandyLoam,may,2001,23-05-2001 11:51,23-05-2001 12:51
SandyLoam,may,2001,23-05-2001 12:51,23-05-2001 14:21
SandyLoam,may,2001,23-05-2001 14:21,23-05-2001 16:23
SandyLoam,may,2001,23-05-2001 16:23,23-05-2001 19:23
SandyLoam,may,2001,23-05-2001 19:23,24-05-2001 02:28
SandyLoam,may,2001,24-05-2001 02:28,24-05-2001 10:01
SandyLoam,may,2001,24-05-2001 10:01,24-05-2001 14:37
SandyLoam,may,2001,24-05-2001 14:37,25-05-2001 00:04
SandyLoam,may,2001,25-05-2001 00:04,25-05-2001 10:23
SandyLoam,may,2001,25-05-2001 10:23,25-05-2001 15:37
SandyLoam,may,2001,25-05-2001 15:37,26-05-2001 00:10
SandyLoam,may,2001,26-05-2001 00:10,26-05-2001 09:37
SandyLoam,may,2001,26-05-2001 09:37,26-05-2001 15:56
SandyLoam,may,2001,26-05-2001 15:56,27-05-2001 00:35
SandyLoam,may,2001,27-05-2001 00:35,27-05-2001 11:45
SandyLoam,may,2001,27-05-2001 11:45,28-05-2001 01:34
SandyLoam,may,2001,28-05-2001 01:34,28-05-2001 12:23
SandyLoam,may,2001,28-05-2001 12:23,30-05-2001 22:56
SandyLoam,may,2001,30-05-2001 22:56,31-05-2001 22:06
