"cpmid","pub.id","proj","exper","field","plot","rep","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.start","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","institute","sub.period","file","treat","meas.tech","meas.tech.det","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","rep2","acid","meas.tech.orig","meas.tech2","crop.orig","app.method.orig","incorp.orig","man.source.orig","date.start","flag.int","soil.samp.z"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:2 AD-L.T:AD-L.R:1.R2:.T:2022-09-14 14:56:00.M:Wind tunnelNA",NA,"STABIL26","3","Foulumgård","2 AD-L","1",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.18",NA,NA,"5.61","1.06","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"liquid","Anaerobic digestion","Mechanical separation",NA,"5.35","69.53","2.61",1.06,NA,NA,NA,"7.96",2022-09-14 14:56:00,2022-09-20 08:36:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-L","Wind tunnel",NA,"2022-09-14 14:56:08 UTC","2022-09-20 08:36:08 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:2 AD-L.T:AD-L.R:1.R2:.T:2022-09-14 14:56:00","D:1.I:AU.Pr:STABIL26.E:3","","Dela Pierre, Flavia",31.8,NA,1.24,1.67,2.38,3.35,4.48,5.2,5.72,NA,6.22,6.22,NA,1.24,1.67,2.38,3.35,4.48,5.2,5.72,NA,6.22,6.22,NA,0.0389,0.0525,0.075,0.105,0.141,0.164,0.18,NA,0.195,0.195,NA,0,0,0,0,0,0,0,NA,0,0,NA,14.7,14.3,12.9,12.3,12.3,12.5,12.2,11.7,11.7,NA,14.9,14.9,14.8,14.4,14,13.9,13.9,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,119,59.3,121,135,149,152,143,143,NA,0,0,0,0,0,0,0,0,0,NA,72.6,76.3,85.3,82.2,80.8,80.6,80.6,81.2,81.2,1420,1490,75,1.73,0.00933,0.297,1.6,3.2,1.73,138,2022-09-14 14:56:00,2022-09-20 07:00:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-09-14,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:4 AD.T:AD.R:1.R2:.T:2022-09-14 15:12:00.M:Wind tunnelNA",NA,"STABIL26","3","Foulumgård","4 AD","1",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.18",NA,NA,"5.61","1.06","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"slurry","Anaerobic digestion","None",NA,"6.37","77.21","3.1",1.52,NA,NA,NA,"7.92",2022-09-14 15:12:00,2022-09-20 08:44:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD","Wind tunnel",NA,"2022-09-14 15:12:08 UTC","2022-09-20 08:44:07 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:4 AD.T:AD.R:1.R2:.T:2022-09-14 15:12:00","D:1.I:AU.Pr:STABIL26.E:3","","Dela Pierre, Flavia",45.6,NA,4.61,6.62,9.83,12.9,15.4,16.6,17.2,NA,17.8,17.8,NA,4.61,6.62,9.83,12.9,15.4,16.6,17.2,NA,17.8,17.8,NA,0.101,0.145,0.216,0.282,0.338,0.364,0.378,NA,0.391,0.391,NA,0,0,0,0,0,0,0,NA,0,0,NA,14.7,13.9,12.6,12.2,12.4,12.5,12.2,11.6,11.6,NA,14.8,14.8,14.7,14.3,14,13.9,13.9,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,114,56.8,124,141,155,151,141,141,NA,0,0,0,0,0,0,0,0,0,NA,72.6,79.1,86.7,82.7,80.4,80.2,80.9,81.7,81.7,1490,1580,84,1.73,0.0212,0.969,1.6,1.73,1.73,138,2022-09-14 15:12:00,2022-09-20 07:08:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-09-14,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:5 AD-F.T:AD-F.R:2.R2:.T:2022-09-14 15:20:00.M:Wind tunnelNA",NA,"STABIL26","3","Foulumgård","5 AD-F","2",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.18",NA,NA,"5.61","1.06","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"solid","Anaerobic digestion","Mechanical separation",NA,"52.76","88.41","13.28",1.33,NA,NA,NA,"6.6",2022-09-14 15:20:00,2022-09-20 08:52:00,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-F","Wind tunnel",NA,"2022-09-14 15:20:07 UTC","2022-09-20 08:52:07 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:5 AD-F.T:AD-F.R:2.R2:.T:2022-09-14 15:20:00","D:1.I:AU.Pr:STABIL26.E:3","","Dela Pierre, Flavia",13.3,NA,0.0247,0.0354,0.0581,0.0933,0.159,0.199,0.251,NA,0.295,0.295,NA,0.0247,0.0354,0.0581,0.0933,0.159,0.199,0.251,NA,0.295,0.295,NA,0.00185,0.00266,0.00437,0.00702,0.012,0.015,0.0189,NA,0.0221,0.0221,NA,0,0,0,0,0,0,0,NA,0,0,NA,14.7,13.9,12.6,12.1,12.4,12.5,12.2,11.5,11.5,NA,14.9,14.8,14.8,14.3,14,13.9,13.9,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,114,56.8,124,143,153,150,140,140,NA,0,0,0,0,0,0,0,0,0,NA,72.6,79.1,86.7,82.7,80.1,80.3,80.9,81.8,81.8,1580,1660,84,1.73,0.000442,0.00588,1.6,1.73,1.73,138,2022-09-14 15:20:00,2022-09-20 07:16:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-09-14,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:6 AD.T:AD.R:2.R2:.T:2022-09-14 15:28:00.M:Wind tunnelNA",NA,"STABIL26","3","Foulumgård","6 AD","2",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.18",NA,NA,"5.61","1.06","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"slurry","Anaerobic digestion","None",NA,"6.37","77.21","3.1",1.52,NA,NA,NA,"7.92",2022-09-14 15:28:00,2022-09-20 09:00:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD","Wind tunnel",NA,"2022-09-14 15:28:07 UTC","2022-09-20 09:00:07 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:6 AD.T:AD.R:2.R2:.T:2022-09-14 15:28:00","D:1.I:AU.Pr:STABIL26.E:3","","Dela Pierre, Flavia",45.6,NA,4.8,6.98,10.7,14.2,17.2,18.3,19,NA,19.6,19.6,NA,4.8,6.98,10.7,14.2,17.2,18.3,19,NA,19.6,19.6,NA,0.105,0.153,0.236,0.312,0.376,0.402,0.416,NA,0.429,0.429,NA,0,0,0,0,0,0,0,NA,0,0,NA,14.7,13.9,12.6,12.2,12.4,12.5,12.2,11.5,11.5,NA,14.9,14.8,14.8,14.3,14,13.9,13.9,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,114,56.8,123,143,153,151,141,141,NA,0,0,0,0,0,0,0,0,0,NA,72.6,79.1,86.7,81.9,79.8,80,80.9,81.8,81.8,1660,1740,84,1.73,0.0221,1.01,1.6,1.73,1.73,138,2022-09-14 15:28:00,2022-09-20 07:24:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-09-14,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:8 AD-L.T:AD-L.R:2.R2:.T:2022-09-14 15:44:00.M:Wind tunnelNA",NA,"STABIL26","3","Foulumgård","8 AD-L","2",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.18",NA,NA,"5.61","1.06","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"liquid","Anaerobic digestion","Mechanical separation",NA,"5.35","69.53","2.61",1.06,NA,NA,NA,"7.96",2022-09-14 15:44:00,2022-09-20 09:16:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-L","Wind tunnel",NA,"2022-09-14 15:44:06 UTC","2022-09-20 09:16:07 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:8 AD-L.T:AD-L.R:2.R2:.T:2022-09-14 15:44:00","D:1.I:AU.Pr:STABIL26.E:3","","Dela Pierre, Flavia",31.8,NA,1.76,2.52,3.97,5.96,8.16,9.38,10.2,NA,11,11,NA,1.76,2.52,3.97,5.96,8.16,9.38,10.2,NA,11,11,NA,0.0553,0.0792,0.125,0.187,0.257,0.295,0.32,NA,0.344,0.344,NA,0,0,0,0,0,0,0,NA,0,0,NA,14.6,13.9,12.5,12.3,12.4,12.5,12.2,11.6,11.6,NA,14.9,14.8,14.7,14.3,14,13.9,13.9,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,107,53.3,124,145,155,153,144,144,NA,0,0,0,0,0,0,0,0,0,NA,74.9,80.6,87.5,81.7,79.9,80,80.6,81.6,81.6,1740,1830,84,1.73,0.0111,0.353,1.6,1.73,1.73,138,2022-09-14 15:44:00,2022-09-20 07:40:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-09-14,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:9 AD-L.T:AD-L.R:3.R2:.T:2022-09-14 15:52:00.M:Wind tunnelNA",NA,"STABIL26","3","Foulumgård","9 AD-L","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.18",NA,NA,"5.61","1.06","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"liquid","Anaerobic digestion","Mechanical separation",NA,"5.35","69.53","2.61",1.06,NA,NA,NA,"7.96",2022-09-14 15:52:00,2022-09-20 09:24:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-L","Wind tunnel",NA,"2022-09-14 15:52:06 UTC","2022-09-20 09:24:06 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:9 AD-L.T:AD-L.R:3.R2:.T:2022-09-14 15:52:00","D:1.I:AU.Pr:STABIL26.E:3","","Dela Pierre, Flavia",31.8,NA,1.42,2,3.09,4.6,6.26,7.24,7.9,NA,8.54,8.54,NA,1.42,2,3.09,4.6,6.26,7.24,7.9,NA,8.54,8.54,NA,0.0447,0.063,0.0971,0.145,0.197,0.228,0.248,NA,0.268,0.268,NA,0,0,0,0,0,0,0,NA,0,0,NA,14.3,13.6,12.3,12.2,12.4,12.5,12.2,11.5,11.5,NA,14.8,14.8,14.7,14.3,14,13.9,13.9,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,80.4,40.2,118,142,153,148,142,142,NA,0,0,0,0,0,0,0,0,0,NA,78.3,82.9,88.6,82.2,80.3,80.2,80.7,81.7,81.7,1830,1910,84,1.73,0.00937,0.298,1.6,1.73,1.73,138,2022-09-14 15:52:00,2022-09-20 07:48:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-09-14,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:4.F:Foulumgård.P:1 PS-L.T:PS-L.R:1.R2:.T:2022-04-12 15:08:00.M:Wind tunnelNA",NA,"STABIL26","4","Foulumgård","1 PS-L","1",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.17",NA,NA,"5.96","1.29","No",NA,"pig","finisher pigs, piglets or a mixture of the two",NA,"liquid","Mechanical separation",NA,NA,"2.38","69.77","1.9",1.01,NA,NA,NA,"7.36",2022-04-12 15:08:00,2022-04-18 09:31:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","PS-L","Wind tunnel",NA,"2022-04-12 15:08:06 UTC","2022-04-18 09:31:29 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:4.F:Foulumgård.P:1 PS-L.T:PS-L.R:1.R2:.T:2022-04-12 15:08:00","D:1.I:AU.Pr:STABIL26.E:4","","Dela Pierre, Flavia",30.3,NA,0.14,0.191,0.273,0.417,1.08,1.3,1.48,NA,1.77,1.77,NA,0.14,0.191,0.273,0.417,1.08,1.3,1.48,NA,1.77,1.77,NA,0.00462,0.00631,0.00901,0.0138,0.0356,0.043,0.0488,NA,0.0583,0.0583,NA,0,0,0,0,0,0,0,NA,0,0,NA,9.2,8.53,7.25,7.53,9.01,9.08,7.81,7.67,7.67,NA,5.2,5.3,5.35,5.28,5.46,6.33,6.28,6.44,6.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,199,99.4,147,159,77.2,106,140,140,NA,0,0,0,0,0,0,0,0,0,NA,47.1,50.3,55.7,63.9,64.3,80.1,80.5,76.8,76.8,1910,1980,69,1.73,0.00128,0.0389,1.73,20.6,1.73,138,2022-04-12 15:08:00,2022-04-18 07:47:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Pig",2022-04-12,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:4.F:Foulumgård.P:10 PS-F.T:PS-F.R:3.R2:.T:2022-04-12 16:20:00.M:Wind tunnelNA",NA,"STABIL26","4","Foulumgård","10 PS-F","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.17",NA,NA,"5.96","1.29","No",NA,"pig","finisher pigs, piglets or a mixture of the two",NA,"solid","Mechanical separation",NA,NA,"22.3","92.8","2.73",0.71,NA,NA,NA,"8.31",2022-04-12 16:20:00,2022-04-18 10:43:00,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","PS-F","Wind tunnel",NA,"2022-04-12 16:20:05 UTC","2022-04-18 10:43:27 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:4.F:Foulumgård.P:10 PS-F.T:PS-F.R:3.R2:.T:2022-04-12 16:20:00","D:1.I:AU.Pr:STABIL26.E:4","","Dela Pierre, Flavia",7.1,NA,1.22,1.45,1.77,2.12,2.76,2.93,3.07,NA,3.11,3.11,NA,1.22,1.45,1.77,2.12,2.76,2.93,3.07,NA,3.11,3.11,NA,0.171,0.204,0.25,0.299,0.389,0.413,0.432,NA,0.438,0.438,NA,0,0,0,0,0,0,0,NA,0,0,NA,8.7,7.93,6.85,7.92,8.9,9.53,8.21,7.91,7.91,NA,5.3,5.37,5.37,5.32,5.46,6.34,6.28,6.43,6.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,101,50.4,151,148,85.5,115,147,147,NA,0,0,0,0,0,0,0,0,0,NA,48.8,52.8,57.2,63.7,64.5,78.8,79.2,76,76,1980,2050,68,1.73,0.0573,0.407,0.4,22.3,1.73,138,2022-04-12 16:20:00,2022-04-18 08:59:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Pig",2022-04-12,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:4.F:Foulumgård.P:12 PS.T:PS.R:3.R2:.T:2022-04-12 16:36:00.M:Wind tunnelNA",NA,"STABIL26","4","Foulumgård","12 PS","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.17",NA,NA,"5.96","1.29","No",NA,"pig","finisher pigs, piglets or a mixture of the two",NA,"slurry","None",NA,NA,"3.63","77.25","2.03",1.16,NA,NA,NA,"7.16",2022-04-12 16:36:00,2022-04-18 10:59:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","PS","Wind tunnel",NA,"2022-04-12 16:36:04 UTC","2022-04-18 10:59:26 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:4.F:Foulumgård.P:12 PS.T:PS.R:3.R2:.T:2022-04-12 16:36:00","D:1.I:AU.Pr:STABIL26.E:4","","Dela Pierre, Flavia",34.8,NA,0.359,0.495,0.785,1.5,3.44,4.12,4.76,NA,6.12,6.12,NA,0.359,0.495,0.785,1.5,3.44,4.12,4.76,NA,6.12,6.12,NA,0.0103,0.0142,0.0225,0.043,0.099,0.119,0.137,NA,0.176,0.176,NA,0,0,0,0,0,0,0,NA,0,0,NA,8.45,7.77,6.77,7.89,8.88,9.09,7.89,7.72,7.72,NA,5.4,5.43,5.38,5.32,5.47,6.37,6.3,6.45,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,76.7,38.4,148,146,69.9,105,140,140,NA,0,0,0,0,0,0,0,0,0,NA,50.6,54.1,58.4,64.5,65.3,80.7,80.6,76.9,76.9,2050,2120,68,1.73,0.0023,0.0799,1.73,22.3,1.73,138,2022-04-12 16:36:00,2022-04-18 09:15:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Pig",2022-04-12,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:4.F:Foulumgård.P:2 PS.T:PS.R:1.R2:.T:2022-04-12 15:16:00.M:Wind tunnelNA",NA,"STABIL26","4","Foulumgård","2 PS","1",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.17",NA,NA,"5.96","1.29","No",NA,"pig","finisher pigs, piglets or a mixture of the two",NA,"slurry","None",NA,NA,"3.63","77.25","2.03",1.16,NA,NA,NA,"7.16",2022-04-12 15:16:00,2022-04-18 09:39:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","PS","Wind tunnel",NA,"2022-04-12 15:16:07 UTC","2022-04-18 09:39:29 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:4.F:Foulumgård.P:2 PS.T:PS.R:1.R2:.T:2022-04-12 15:16:00","D:1.I:AU.Pr:STABIL26.E:4","","Dela Pierre, Flavia",34.8,NA,0.168,0.257,0.39,0.656,1.65,2.01,2.35,NA,3.03,3.03,NA,0.168,0.257,0.39,0.656,1.65,2.01,2.35,NA,3.03,3.03,NA,0.00483,0.00738,0.0112,0.0188,0.0473,0.0578,0.0676,NA,0.087,0.087,NA,0,0,0,0,0,0,0,NA,0,0,NA,9.2,8.53,7.25,7.64,9.12,9.14,7.85,7.66,7.66,NA,5.2,5.3,5.35,5.28,5.47,6.34,6.29,6.45,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,199,99.3,149,165,81.2,106,139,139,NA,0,0,0,0,0,0,0,0,0,NA,47.1,50.3,55.7,63.3,63.8,79.8,80.2,76.8,76.8,2120,2180,69,1.73,0.000809,0.0282,1.73,20.6,1.73,138,2022-04-12 15:16:00,2022-04-18 07:55:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Pig",2022-04-12,"","0-5"
