"proj","pub.id","exper","field","plot","treat","rep","lat","long","long.dir","topo","interval","t.start","t.end","dt","meas.tech","plot.area","bg.dl","bg.val","bg.unit","j.NH3","j.NH3.unit","clay","silt","sand","oc","soil.type","soil.water","soil.moist","soil.ph","soil.dens","crop.res","till","air.temp","air.temp.z","soil.temp","soil.temp.z","rad","wind","wind.z","rain","rh","wind.loc","far.loc","man.source","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.tkn","man.tan","man.tic","man.ua","man.ph","app.start","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes","row.in.file","t.end.h","t.start.h"
"ALFAM2",NA,"B1","ECO field Foulum","18","E","1",NA,NA,"E","Flat",2,2014-04-02 09:15:00,2014-04-02 14:16:00,NA,"cps",81,NA,NA,NA,0.003,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.24,100,NA,NA,NA,4.53,2,4.8,84.2,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",31,25,20
"ALFAM2",NA,"B1","ECO field Foulum","32","E","1",NA,NA,"E","Flat",2,2014-04-02 09:23:00,2014-04-02 14:25:00,NA,"cps",81,NA,NA,NA,0.03,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.32,100,NA,NA,NA,4.24,2,4.8,83.7,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",32,25,20
"ALFAM2",NA,"B1","ECO field Foulum","3","E","1",NA,NA,"E","Flat",3,2014-04-02 13:46:00,2014-04-03 08:41:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6.52,100,NA,NA,NA,2.48,2,0.1,73.3,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",33,43,24
"ALFAM2",NA,"B1","ECO field Foulum","11","E","1",NA,NA,"E","Flat",3,2014-04-02 13:52:00,2014-04-03 08:45:00,NA,"cps",81,NA,NA,NA,0.021,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6.46,100,NA,NA,NA,2.48,2,0.1,72.6,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",34,43,24
"ALFAM2",NA,"B1","ECO field Foulum","18","E","1",NA,NA,"E","Flat",3,2014-04-02 14:16:00,2014-04-03 08:54:00,NA,"cps",81,NA,NA,NA,0.005,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",5.96,100,NA,NA,NA,2.55,2,0,79.5,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",35,43,25
"ALFAM2",NA,"B1","ECO field Foulum","32","E","1",NA,NA,"E","Flat",3,2014-04-02 14:25:00,2014-04-03 09:01:00,NA,"cps",81,NA,NA,NA,0.022,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",5.31,100,NA,NA,NA,3.08,2,0,83.8,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",36,44,25
"ALFAM2",NA,"B1","ECO field Foulum","3","E","1",NA,NA,"E","Flat",4,2014-04-01 13:34:00,2014-04-01 15:56:00,NA,"cps",81,NA,NA,NA,0.105,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6,100,NA,NA,NA,3.36,2,0,74.4,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",37,2,0
"ALFAM2",NA,"B1","ECO field Foulum","11","E","1",NA,NA,"E","Flat",4,2014-04-03 08:45:00,2014-04-03 13:07:00,NA,"cps",81,NA,NA,NA,0.045,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",3.72,100,NA,NA,NA,4.17,2,0,90.3,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",38,48,43
"ALFAM2",NA,"B1","ECO field Foulum","18","E","1",NA,NA,"E","Flat",4,2014-04-03 08:54:00,2014-04-03 13:18:00,NA,"cps",81,NA,NA,NA,0.067,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.04,100,NA,NA,NA,4.27,2,0,88.6,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",39,48,43
"ALFAM2",NA,"B1","ECO field Foulum","32","E","1",NA,NA,"E","Flat",4,2014-04-03 09:01:00,2014-04-03 13:31:00,NA,"cps",81,NA,NA,NA,0.064,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.23,100,NA,NA,NA,4.16,2,0,87.7,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",40,48,44
"ALFAM2",NA,"B1","ECO field Foulum","1","ES","1",NA,NA,"E","Flat",0,2014-04-01 13:34:00,2014-04-01 15:56:00,NA,"cps",81,NA,NA,NA,0.433,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6,100,NA,NA,NA,4.05,2,0,74.4,"Field",NA,"Cattle",NA,"Liquid","Acidification","None",90,6.4,2.9,1.6,NA,NA,5.6,"01-04-2014 13:34","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied acidified and incorporated (rotary cultivator) before sowing spring barley.",41,2,0
"ALFAM2",NA,"B1","ECO field Foulum","17","ES","1",NA,NA,"E","Flat",0,2014-04-01 13:59:00,2014-04-01 16:13:00,NA,"cps",81,NA,NA,NA,0.148,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6.13,100,NA,NA,NA,3.88,2,0,73.6,"Field",NA,"Cattle",NA,"Liquid","Acidification","None",90,6.4,2.9,1.6,NA,NA,5.6,"01-04-2014 13:59","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied acidified and incorporated (rotary cultivator) before sowing spring barley.",42,3,0
