project,experiment,field,plot_code,plot_code,replicate,shift,t_start,t_end,time.4,meas_tech,meas_tech_det,detect_lim,d_val,d_unit,flux,flux_unit,surf_pH,temp,air_temp_z,soil_temp,soil_temp_z,soil_surf_temp,radiation,wind2m,wind_z
B1990-37,B1990-37,12-Slootdorp,012,012,"",2,"","",1,IHF,IHF,"","","",3.58410624,kg N/ha-hr,"",14.3,10,"","","",90,4.9,2
B1990-37,B1990-37,12-Slootdorp,012,012,"",3,"","",1.5,IHF,IHF,"","","",1.1200332,kg N/ha-hr,"",13.9,10,"","","",158.5,4.4,2
B1990-37,B1990-37,12-Slootdorp,012,012,"",4,"","",2.8,IHF,IHF,"","","",0.520015414285714,kg N/ha-hr,"",14.1,10,"","","",315,3,2
B1990-37,B1990-37,12-Slootdorp,012,012,"",5,"","",3.5,IHF,IHF,"","","",0.320009485714286,kg N/ha-hr,"",13.5,10,"","","",419.2,3.3,2
B1990-37,B1990-37,12-Slootdorp,012,012,"",6,"","",11.6,IHF,IHF,"","","",0.106210044827586,kg N/ha-hr,"",9.5,10,"","","",424.5,2.1,2
B1990-37,B1990-37,12-Slootdorp,012,012,"",7,"","",24.9,IHF,IHF,"","","",0.0854643807228916,kg N/ha-hr,"",12.2,10,"","","",1687.3,1.5,2
B1990-37,B1990-37,12-Slootdorp,012,012,"",8,"","",24,IHF,IHF,"","","",0.02800083,kg N/ha-hr,"",12.6,10,"","","",2433.5,0.5,2
B1990-37,B1990-37,12-Slootdorp,012,012,"",9,"","",23.8,IHF,IHF,"","","",0.00941204369747899,kg N/ha-hr,"",12.4,10,"","","",3614.1,0.8,2
B1990-38,B1990-38,70-Slootdorp,070,070,"",1,"","",0.5,IHF,IHF,"","","",6.4197276,kg N/ha-hr,"",9.5,10,"","","",16,1.2,2
B1990-38,B1990-38,70-Slootdorp,070,070,"",2,"","",1.1,IHF,IHF,"","","",11.902605,kg N/ha-hr,"",11.7,10,"","","",99.2,2.3,2
B1990-38,B1990-38,70-Slootdorp,070,070,"",3,"","",1.4,IHF,IHF,"","","",14.2995812142857,kg N/ha-hr,"",13.7,10,"","","",261.4,3.2,2
B1990-38,B1990-38,70-Slootdorp,070,070,"",4,"","",3,IHF,IHF,"","","",4.8992658,kg N/ha-hr,"",14.5,10,"","","",441.2,3.6,2
B1990-38,B1990-38,70-Slootdorp,070,070,"",5,"","",4.5,IHF,IHF,"","","",1.59554633333333,kg N/ha-hr,"",13.9,10,"","","",591.8,4.5,2
B1990-38,B1990-38,70-Slootdorp,070,070,"",6,"","",11.2,IHF,IHF,"","","",0.512854178571429,kg N/ha-hr,"",14.3,10,"","","",591.9,4.5,2
B1990-38,B1990-38,70-Slootdorp,070,070,"",7,"","",25.1,IHF,IHF,"","","",0.158171103585657,kg N/ha-hr,"",12,10,"","","",947.9,3.9,2
B1990-38,B1990-38,71-Slootdorp,071,071,"",1,"","",0.5,IHF,IHF,"","","",4.6633158,kg N/ha-hr,"",12.2,10,"","","",51.73,2.4,2
B1990-38,B1990-38,71-Slootdorp,071,071,"",2,"","",1,IHF,IHF,"","","",5.4405351,kg N/ha-hr,"",14.1,10,"","","",129.1,3.4,2
B1990-38,B1990-38,71-Slootdorp,071,071,"",3,"","",1.4,IHF,IHF,"","","",2.71409914285714,kg N/ha-hr,"",14.5,10,"","","",265,3.5,2
B1990-38,B1990-38,71-Slootdorp,071,071,"",4,"","",3,IHF,IHF,"","","",1.7559399,kg N/ha-hr,"",14.7,10,"","","",449.6,4.3,2
B1990-38,B1990-38,71-Slootdorp,071,071,"",5,"","",3.1,IHF,IHF,"","","",0.975006290322581,kg N/ha-hr,"",13.5,10,"","","",498.4,4.2,2
B1990-38,B1990-38,71-Slootdorp,071,071,"",6,"","",11.3,IHF,IHF,"","","",0.35918689380531,kg N/ha-hr,"",14.3,10,"","","",637.6,4.5,2
B1990-38,B1990-38,71-Slootdorp,071,071,"",7,"","",25.2,IHF,IHF,"","","",0.123368142857143,kg N/ha-hr,"",12,10,"","","",867.9,3.9,2
B1990-38,B1990-38,72-Slootdorp,072,072,"",1,"","",0.5,IHF,IHF,"","","",0.6719856,kg N/ha-hr,"",12.1,10,"","","",45.5,2.6,2
B1990-38,B1990-38,72-Slootdorp,072,072,"",2,"","",1.1,IHF,IHF,"","","",0.305448,kg N/ha-hr,"",13.3,10,"","","",177.5,2.9,2
B1990-38,B1990-38,72-Slootdorp,072,072,"",3,"","",1.4,IHF,IHF,"","","",0.539988428571429,kg N/ha-hr,"",14.6,10,"","","",280,3.6,2
B1990-38,B1990-38,72-Slootdorp,072,072,"",4,"","",3,IHF,IHF,"","","",0.3919916,kg N/ha-hr,"",14.7,10,"","","",462.6,4,2
B1990-38,B1990-38,72-Slootdorp,072,072,"",5,"","",3.4,IHF,IHF,"","","",0.123526764705882,kg N/ha-hr,"",13.8,10,"","","",540.9,4.3,2
B1990-38,B1990-38,72-Slootdorp,072,072,"",6,"","",11.3,IHF,IHF,"","","",0.133802442477876,kg N/ha-hr,"",14.3,10,"","","",541.1,4.5,2
B1990-38,B1990-38,72-Slootdorp,072,072,"",7,"","",25.4,IHF,IHF,"","","",0.0793683779527559,kg N/ha-hr,"",12,10,"","","",901.4,3.9,2
B1990-38,B1990-38,72-Slootdorp,072,072,"",8,"","",24,IHF,IHF,"","","",0.045499025,kg N/ha-hr,"",10.9,10,"","","",1321,4.9,2
B1990-38,B1990-38,73-Slootdorp,073,073,"",1,"","",0.5,IHF,IHF,"","","",0.906048,kg N/ha-hr,"",12,10,"","","",44,2.7,2
B1990-38,B1990-38,73-Slootdorp,073,073,"",2,"","",1,IHF,IHF,"","","",0.5436288,kg N/ha-hr,"",12.8,10,"","","",167.1,2.7,2
B1990-38,B1990-38,73-Slootdorp,073,073,"",3,"","",1.5,IHF,IHF,"","","",0.1812096,kg N/ha-hr,"",14.6,10,"","","",282.2,3.6,2
B1990-38,B1990-38,73-Slootdorp,073,073,"",4,"","",3,IHF,IHF,"","","",0.2114112,kg N/ha-hr,"",14.6,10,"","","",465.2,4,2
B1990-38,B1990-38,73-Slootdorp,073,073,"",5,"","",3.5,IHF,IHF,"","","",0.0776612571428571,kg N/ha-hr,"",13.8,10,"","","",549.7,4.3,2
B1990-38,B1990-38,73-Slootdorp,073,073,"",6,"","",11.4,IHF,IHF,"","","",0.0476867368421053,kg N/ha-hr,"",14.2,10,"","","",549.9,4.5,2
B1990-38,B1990-38,73-Slootdorp,073,073,"",7,"","",25,IHF,IHF,"","","",0.03624192,kg N/ha-hr,"",12,10,"","","",904.5,3.9,2
B1990-38,B1990-38,73-Slootdorp,073,073,"",8,"","",24.2,IHF,IHF,"","","",0.022464,kg N/ha-hr,"",10.9,10,"","","",1329.8,4.9,2
B1990-38,B1990-38,74-Slootdorp,074,074,"",1,"","",0.5,IHF,IHF,"","","",8.4035952,kg N/ha-hr,"",10.3,10,"","","",16,1.6,2
B1990-38,B1990-38,74-Slootdorp,074,074,"",2,"","",1,IHF,IHF,"","","",12.4053072,kg N/ha-hr,"",11,10,"","","",79.7,2.2,2
B1990-38,B1990-38,74-Slootdorp,074,074,"",3,"","",1.5,IHF,IHF,"","","",13.4724304,kg N/ha-hr,"",13.3,10,"","","",250.6,2.8,2
B1990-38,B1990-38,74-Slootdorp,074,074,"",4,"","",3,IHF,IHF,"","","",6.4694344,kg N/ha-hr,"",15.3,10,"","","",425,4.2,2
B1990-38,B1990-38,74-Slootdorp,074,074,"",5,"","",4.2,IHF,IHF,"","","",2.834546,kg N/ha-hr,"",15.2,10,"","","",598.2,4.7,2
B1990-38,B1990-38,74-Slootdorp,074,074,"",6,"","",11.5,IHF,IHF,"","","",1.27880796521739,kg N/ha-hr,"",14.8,10,"","","",598.9,4.9,2
B1990-38,B1990-38,74-Slootdorp,074,074,"",7,"","",25.2,IHF,IHF,"","","",0.258046904761905,kg N/ha-hr,"",13.1,10,"","","",958.2,4.6,2
B1990-38,B1990-38,74-Slootdorp,074,074,"",8,"","",24,IHF,IHF,"","","",0.25427545,kg N/ha-hr,"",11.7,10,"","","",1380.8,5.6,2
B1990-38,B1990-38,75-Slootdorp,075,075,"",1,"","",0.5,IHF,IHF,"","","",10.2498396,kg N/ha-hr,"",12.6,10,"","","",42.5,2.7,2
B1990-38,B1990-38,75-Slootdorp,075,075,"",2,"","",1,IHF,IHF,"","","",6.4618554,kg N/ha-hr,"",13.3,10,"","","",170.5,2.8,2
B1990-38,B1990-38,75-Slootdorp,075,075,"",3,"","",1.5,IHF,IHF,"","","",5.1249198,kg N/ha-hr,"",15.1,10,"","","",278.9,3.8,2
B1990-38,B1990-38,75-Slootdorp,075,075,"",4,"","",3,IHF,IHF,"","","",2.7481454,kg N/ha-hr,"",15.6,10,"","","",462.2,4.7,2
B1990-38,B1990-38,75-Slootdorp,075,075,"",5,"","",3.1,IHF,IHF,"","","",1.61726080645161,kg N/ha-hr,"",14.8,10,"","","",523.5,4.6,2
B1990-38,B1990-38,75-Slootdorp,075,075,"",6,"","",11.7,IHF,IHF,"","","",0.933188666666667,kg N/ha-hr,"",14.9,10,"","","",882.6,4.9,2
B1990-38,B1990-38,75-Slootdorp,075,075,"",7,"","",24.2,IHF,IHF,"","","",0.437358409090909,kg N/ha-hr,"",13,10,"","","",1305.5,4.6,2
B1990-38,B1990-38,76-Slootdorp,076,076,"",1,"","",0.5,IHF,IHF,"","","",1.84988232,kg N/ha-hr,"",13.3,10,"","","",64,2.8,2
B1990-38,B1990-38,76-Slootdorp,076,076,"",2,"","",1,IHF,IHF,"","","",1.84988232,kg N/ha-hr,"",14.8,10,"","","",141.4,3.4,2
B1990-38,B1990-38,76-Slootdorp,076,076,"",3,"","",1.5,IHF,IHF,"","","",1.712854,kg N/ha-hr,"",15.3,10,"","","",238,4.2,2
B1990-38,B1990-38,76-Slootdorp,076,076,"",4,"","",2.9,IHF,IHF,"","","",1.98454808275862,kg N/ha-hr,"",15.6,10,"","","",419.2,4.8,2
B1990-38,B1990-38,76-Slootdorp,076,076,"",5,"","",2.7,IHF,IHF,"","","",0.6851416,kg N/ha-hr,"",14.5,10,"","","",444.6,4.4,2
B1990-38,B1990-38,76-Slootdorp,076,076,"",6,"","",11.5,IHF,IHF,"","","",0.491514626086957,kg N/ha-hr,"",14.9,10,"","","",444.7,4.9,2
B1990-38,B1990-38,76-Slootdorp,076,076,"",7,"","",24.9,IHF,IHF,"","","",0.19811323373494,kg N/ha-hr,"",13.1,10,"","","",801.8,4.6,2
B1990-38,B1990-38,77-Slootdorp,077,077,"",1,"","",0.5,IHF,IHF,"","","",1.87443828,kg N/ha-hr,"",11,10,"","","",42.1,2.4,2
B1990-38,B1990-38,77-Slootdorp,077,077,"",2,"","",1,IHF,IHF,"","","",0.20827092,kg N/ha-hr,"",12.7,10,"","","",150.9,2.7,2
B1990-38,B1990-38,77-Slootdorp,077,077,"",3,"","",1.4,IHF,IHF,"","","",0.0743824714285714,kg N/ha-hr,"",14.5,10,"","","",283.3,3.4,2
B1990-38,B1990-38,77-Slootdorp,077,077,"",4,"","",3,IHF,IHF,"","","",0.06942364,kg N/ha-hr,"",15.5,10,"","","",468.1,4.5,2
B1990-38,B1990-38,77-Slootdorp,077,077,"",5,"","",3.5,IHF,IHF,"","","",0.0892589657142857,kg N/ha-hr,"",14.9,10,"","","",569.6,4.6,2
B1990-38,B1990-38,77-Slootdorp,077,077,"",6,"","",11.8,IHF,IHF,"","","",0.000882503898305085,kg N/ha-hr,"",14.8,10,"","","",570.1,4.9,2
B1990-38,B1990-38,77-Slootdorp,077,077,"",7,"","",24.9,IHF,IHF,"","","",0.000418214698795181,kg N/ha-hr,"",13.1,10,"","","",926.3,4.6,2
B1990-38,B1990-38,77-Slootdorp,077,077,"",8,"","",24.2,IHF,IHF,"","","",0.000430311818181818,kg N/ha-hr,"",11.7,10,"","","",1352,5.6,2
B1990-39,B1990-39,78-Slootdorp,078,078,"",1,"","",0.5,IHF,IHF,"","","",12.17872656,kg N/ha-hr,"",11.4,10,"","","",48.5,1.6,2
B1990-39,B1990-39,78-Slootdorp,078,078,"",2,"","",1,IHF,IHF,"","","",13.55097744,kg N/ha-hr,"",12.8,10,"","","",232.1,2.9,2
B1990-39,B1990-39,78-Slootdorp,078,078,"",3,"","",1.6,IHF,IHF,"","","",9.1126035,kg N/ha-hr,"",13.9,10,"","","",453.5,2.9,2
B1990-39,B1990-39,78-Slootdorp,078,078,"",4,"","",2.7,IHF,IHF,"","","",2.50944026666667,kg N/ha-hr,"",14,10,"","","",646.3,2.3,2
B1990-39,B1990-39,78-Slootdorp,078,078,"",5,"","",12.1,IHF,IHF,"","","",0.198466036363636,kg N/ha-hr,"",9.3,10,"","","",648.9,0.8,2
B1990-39,B1990-39,78-Slootdorp,078,078,"",6,"","",24.9,IHF,IHF,"","","",0.278996790361446,kg N/ha-hr,"",9.7,10,"","","",1501.4,1.5,2
