project,experiment,field,plot_code,plot_code,replicate,shift,t_start,t_end,time.4,meas_tech,meas_tech_det,detect_lim,d_val,d_unit,flux,flux_unit,surf_pH,temp,air_temp_z,soil_temp,soil_temp_z,soil_surf_temp,radiation,wind2m
G1990-18,G1990-18,24-Zegveld,024,024,"",9,"","",23.9,IHF,IHF,"","","",0.0056812820083682,kg N/ha-hr,"",18.9,10,"","","",9394,1.3
G1990-20,G1990-20,26-Duiven,026,026,"",1,"","",0.5,IHF,IHF,"","","",0.50542296,kg N/ha-hr,"",14,10,"","","",81,1.4
G1990-20,G1990-20,26-Duiven,026,026,"",2,"","",0.9,IHF,IHF,"","","",0.4813552,kg N/ha-hr,"",15.6,10,"","","",206,1.9
G1990-20,G1990-20,26-Duiven,026,026,"",3,"","",1.7,IHF,IHF,"","","",0.3610164,kg N/ha-hr,"",17.3,10,"","","",547,2.3
G1990-20,G1990-20,26-Duiven,026,026,"",4,"","",2.9,IHF,IHF,"","","",0.273874510344828,kg N/ha-hr,"",18.8,10,"","","",1090,2.2
G1990-20,G1990-20,26-Duiven,026,026,"",5,"","",4.4,IHF,IHF,"","","",0.131278690909091,kg N/ha-hr,"",19.1,10,"","","",1439,1.5
G1990-20,G1990-20,26-Duiven,026,026,"",6,"","",11.7,IHF,IHF,"","","",0.0185136615384615,kg N/ha-hr,"",13.5,10,"","","",1476,1
G1990-20,G1990-20,26-Duiven,026,026,"",7,"","",25.1,IHF,IHF,"","","",0.0359578087649402,kg N/ha-hr,"",13.8,10,"","","",3382,2.5
G1990-20,G1990-20,26-Duiven,026,026,"",8,"","",23.7,IHF,IHF,"","","",0.016756035443038,kg N/ha-hr,"",12.9,10,"","","",5347,2.6
G1990-20,G1990-20,26-Duiven,026,026,"",9,"","",24.6,IHF,IHF,"","","",0.00293509268292683,kg N/ha-hr,"",10,10,"","","",6596,1.8
G1990-20,G1990-20,27-Duiven,027,027,"",1,"","",0.5,IHF,IHF,"","","",0.28699272,kg N/ha-hr,"",14.4,10,"","","",81,1.6
G1990-20,G1990-20,27-Duiven,027,027,"",2,"","",1.1,IHF,IHF,"","","",0.231913309090909,kg N/ha-hr,"",15.9,10,"","","",259,2
G1990-20,G1990-20,27-Duiven,027,027,"",3,"","",1.4,IHF,IHF,"","","",0.2733264,kg N/ha-hr,"",17.4,10,"","","",556,2.3
G1990-20,G1990-20,27-Duiven,027,027,"",4,"","",2.9,IHF,IHF,"","","",0.20342395862069,kg N/ha-hr,"",18.8,10,"","","",1095,2.2
G1990-20,G1990-20,27-Duiven,027,027,"",5,"","",4.2,IHF,IHF,"","","",0.0873126,kg N/ha-hr,"",19.1,10,"","","",1462,1.5
G1990-20,G1990-20,27-Duiven,027,027,"",6,"","",12,IHF,IHF,"","","",0.01594404,kg N/ha-hr,"",13.6,10,"","","",1488,1
G1990-20,G1990-20,27-Duiven,027,027,"",7,"","",24.8,IHF,IHF,"","","",0.00964357258064516,kg N/ha-hr,"",13.8,10,"","","",3379,2.5
