Start Shift;End Shift;AirTemp
16/05/2004 17:30;16/05/2004 18:00;17.05
16/05/2004 18:00;16/05/2004 18:30;16.53
16/05/2004 18:30;16/05/2004 19:00;15.53
16/05/2004 19:00;16/05/2004 19:30;14.35
16/05/2004 19:30;16/05/2004 20:00;12.35
16/05/2004 20:00;16/05/2004 20:30;10.49
16/05/2004 20:30;16/05/2004 21:00;9.06
16/05/2004 21:00;16/05/2004 21:30;8.18
16/05/2004 21:30;16/05/2004 22:00;7.42
16/05/2004 22:00;16/05/2004 22:30;6.56
16/05/2004 22:30;16/05/2004 23:00;5.809
16/05/2004 23:00;16/05/2004 23:30;5.515
16/05/2004 23:30;17/05/2004 00:00;5.432
17/05/2004 00:00;17/05/2004 00:30;5.747
17/05/2004 00:30;17/05/2004 01:00;5.354
17/05/2004 01:00;17/05/2004 01:30;4.884
17/05/2004 01:30;17/05/2004 02:00;3.787
17/05/2004 02:00;17/05/2004 02:30;3.139
17/05/2004 02:30;17/05/2004 03:00;3.149
17/05/2004 03:00;17/05/2004 03:30;2.849
17/05/2004 03:30;17/05/2004 04:00;2.824
17/05/2004 04:00;17/05/2004 04:30;3.043
17/05/2004 04:30;17/05/2004 05:00;2.987
17/05/2004 05:00;17/05/2004 05:30;3.271
17/05/2004 05:30;17/05/2004 06:00;3.619
17/05/2004 06:00;17/05/2004 06:30;5.582
17/05/2004 06:30;17/05/2004 07:00;7.14
17/05/2004 07:00;17/05/2004 07:30;8.55
17/05/2004 07:30;17/05/2004 08:00;9.77
17/05/2004 08:00;17/05/2004 08:30;11.18
17/05/2004 08:30;17/05/2004 09:00;12.43
17/05/2004 09:00;17/05/2004 09:30;13.67
17/05/2004 09:30;17/05/2004 10:00;14.76
17/05/2004 10:00;17/05/2004 10:30;15.64
17/05/2004 10:30;17/05/2004 11:00;16.49
17/05/2004 11:00;17/05/2004 11:30;17.56
17/05/2004 11:30;17/05/2004 12:00;18.47
17/05/2004 12:00;17/05/2004 12:30;19.56
17/05/2004 12:30;17/05/2004 13:00;19.91
17/05/2004 13:00;17/05/2004 13:30;21.08
17/05/2004 13:30;17/05/2004 14:00;21.22
17/05/2004 14:00;17/05/2004 14:30;22.17
17/05/2004 14:30;17/05/2004 15:00;21.92
17/05/2004 15:00;17/05/2004 15:30;22.37
17/05/2004 15:30;17/05/2004 16:00;23.01
17/05/2004 16:00;17/05/2004 16:30;23.17
17/05/2004 16:30;17/05/2004 17:00;23.62
17/05/2004 17:00;17/05/2004 17:30;23.73
17/05/2004 17:30;17/05/2004 18:00;23.22
17/05/2004 18:00;17/05/2004 18:30;23.07
17/05/2004 18:30;17/05/2004 19:00;22.87
17/05/2004 19:00;17/05/2004 19:30;20.86
17/05/2004 19:30;17/05/2004 20:00;18.88
17/05/2004 20:00;17/05/2004 20:30;16.45
17/05/2004 20:30;17/05/2004 21:00;14.9
17/05/2004 21:00;17/05/2004 21:30;14.52
17/05/2004 21:30;17/05/2004 22:00;12.94
17/05/2004 22:00;17/05/2004 22:30;13.14
17/05/2004 22:30;17/05/2004 23:00;12.01
17/05/2004 23:00;17/05/2004 23:30;12.31
17/05/2004 23:30;18/05/2004 00:00;12.99
18/05/2004 00:00;18/05/2004 00:30;13.6
18/05/2004 00:30;18/05/2004 01:00;13.15
18/05/2004 01:00;18/05/2004 01:30;13.63
18/05/2004 01:30;18/05/2004 02:00;13.87
18/05/2004 02:00;18/05/2004 02:30;14.31
18/05/2004 02:30;18/05/2004 03:00;15.26
18/05/2004 03:00;18/05/2004 03:30;16.25
18/05/2004 03:30;18/05/2004 04:00;16.47
18/05/2004 04:00;18/05/2004 04:30;16.52
18/05/2004 04:30;18/05/2004 05:00;16.58
18/05/2004 05:00;18/05/2004 05:30;17.19
18/05/2004 05:30;18/05/2004 06:00;17.34
18/05/2004 06:00;18/05/2004 06:30;18.04
18/05/2004 06:30;18/05/2004 07:00;18
18/05/2004 07:00;18/05/2004 07:30;18.05
18/05/2004 07:30;18/05/2004 08:00;18.6
18/05/2004 08:00;18/05/2004 08:30;18.66
18/05/2004 08:30;18/05/2004 09:00;19
18/05/2004 09:00;18/05/2004 09:30;19.53
18/05/2004 09:30;18/05/2004 10:00;20.45
18/05/2004 10:00;18/05/2004 10:30;20.73
18/05/2004 10:30;18/05/2004 11:00;20.36
18/05/2004 11:00;18/05/2004 11:30;21.17
18/05/2004 11:30;18/05/2004 12:00;21.41
18/05/2004 12:00;18/05/2004 12:30;21.6
18/05/2004 12:30;18/05/2004 13:00;21.62
18/05/2004 13:00;18/05/2004 13:30;21.63
18/05/2004 13:30;18/05/2004 14:00;20.11
18/05/2004 14:00;18/05/2004 14:30;20.99
18/05/2004 14:30;18/05/2004 15:00;20.5
18/05/2004 15:00;18/05/2004 15:30;19.27
18/05/2004 15:30;18/05/2004 16:00;16.46
18/05/2004 16:00;18/05/2004 16:30;16.53
18/05/2004 16:30;18/05/2004 17:00;16.31
18/05/2004 17:00;18/05/2004 17:30;16.35
18/05/2004 17:30;18/05/2004 18:00;16.81
18/05/2004 18:00;18/05/2004 18:30;16.64
18/05/2004 18:30;18/05/2004 19:00;16.5
18/05/2004 19:00;18/05/2004 19:30;16.52
18/05/2004 19:30;18/05/2004 20:00;16.38
18/05/2004 20:00;18/05/2004 20:30;15.74
18/05/2004 20:30;18/05/2004 21:00;14.74
18/05/2004 21:00;18/05/2004 21:30;13.74
18/05/2004 21:30;18/05/2004 22:00;13.06
18/05/2004 22:00;18/05/2004 22:30;12
18/05/2004 22:30;18/05/2004 23:00;11.52
18/05/2004 23:00;18/05/2004 23:30;11.67
18/05/2004 23:30;19/05/2004 00:00;11.65
19/05/2004 00:00;19/05/2004 00:30;11.32
19/05/2004 00:30;19/05/2004 01:00;10.9
19/05/2004 01:00;19/05/2004 01:30;9.62
19/05/2004 01:30;19/05/2004 02:00;8.72
19/05/2004 02:00;19/05/2004 02:30;8.35
19/05/2004 02:30;19/05/2004 03:00;7.77
19/05/2004 03:00;19/05/2004 03:30;7.57
19/05/2004 03:30;19/05/2004 04:00;7.03
19/05/2004 04:00;19/05/2004 04:30;6.774
19/05/2004 04:30;19/05/2004 05:00;6.308
19/05/2004 05:00;19/05/2004 05:30;5.992
19/05/2004 05:30;19/05/2004 06:00;6.311
19/05/2004 06:00;19/05/2004 06:30;7.17
19/05/2004 06:30;19/05/2004 07:00;8.29
19/05/2004 07:00;19/05/2004 07:30;9.32
19/05/2004 07:30;19/05/2004 08:00;10.55
19/05/2004 08:00;19/05/2004 08:30;11.87
19/05/2004 08:30;19/05/2004 09:00;12.98
19/05/2004 09:00;19/05/2004 09:30;14.13
19/05/2004 09:30;19/05/2004 10:00;15.07
19/05/2004 10:00;19/05/2004 10:30;15.79
19/05/2004 10:30;19/05/2004 11:00;16.69
19/05/2004 11:00;19/05/2004 11:30;17.36
19/05/2004 11:30;19/05/2004 12:00;17.91
19/05/2004 12:00;19/05/2004 12:30;18.41
19/05/2004 12:30;19/05/2004 13:00;18.84
19/05/2004 13:00;19/05/2004 13:30;18.99
19/05/2004 13:30;19/05/2004 14:00;19.49
19/05/2004 14:00;19/05/2004 14:30;19.4
19/05/2004 14:30;19/05/2004 15:00;20.29
19/05/2004 15:00;19/05/2004 15:30;20.73
19/05/2004 15:30;19/05/2004 16:00;20.81
19/05/2004 16:00;19/05/2004 16:30;20.73
19/05/2004 16:30;19/05/2004 17:00;21.34
19/05/2004 17:00;19/05/2004 17:30;21.45
19/05/2004 17:30;19/05/2004 18:00;21.37
19/05/2004 18:00;19/05/2004 18:30;20.9
19/05/2004 18:30;19/05/2004 19:00;20.65
19/05/2004 19:00;19/05/2004 19:30;19.94
19/05/2004 19:30;19/05/2004 20:00;18.72
19/05/2004 20:00;19/05/2004 20:30;16.18
19/05/2004 20:30;19/05/2004 21:00;13.54
19/05/2004 21:00;19/05/2004 21:30;12.04
19/05/2004 21:30;19/05/2004 22:00;11.85
19/05/2004 22:00;19/05/2004 22:30;11.72
19/05/2004 22:30;19/05/2004 23:00;11.53
19/05/2004 23:00;19/05/2004 23:30;12.04
19/05/2004 23:30;20/05/2004 00:00;11.82
20/05/2004 00:00;20/05/2004 00:30;9.71
20/05/2004 00:30;20/05/2004 01:00;8.18
20/05/2004 01:00;20/05/2004 01:30;7.62
20/05/2004 01:30;20/05/2004 02:00;6.928
20/05/2004 02:00;20/05/2004 02:30;6.541
20/05/2004 02:30;20/05/2004 03:00;5.855
20/05/2004 03:00;20/05/2004 03:30;5.477
20/05/2004 03:30;20/05/2004 04:00;5.339
20/05/2004 04:00;20/05/2004 04:30;5.783
20/05/2004 04:30;20/05/2004 05:00;6.237
20/05/2004 05:00;20/05/2004 05:30;5.698
20/05/2004 05:30;20/05/2004 06:00;6.168
20/05/2004 06:00;20/05/2004 06:30;8.98
20/05/2004 06:30;20/05/2004 07:00;11.9
20/05/2004 07:00;20/05/2004 07:30;13.74
20/05/2004 07:30;20/05/2004 08:00;15.65
20/05/2004 08:00;20/05/2004 08:30;17.25
20/05/2004 08:30;20/05/2004 09:00;18.46
20/05/2004 09:00;20/05/2004 09:30;19.81
20/05/2004 09:30;20/05/2004 10:00;21.08
20/05/2004 10:00;20/05/2004 10:30;21.5
20/05/2004 10:30;20/05/2004 11:00;21.89
20/05/2004 11:00;20/05/2004 11:30;22.84
20/05/2004 11:30;20/05/2004 12:00;23.32
20/05/2004 12:00;20/05/2004 12:30;23.1
20/05/2004 12:30;20/05/2004 13:00;23.37
20/05/2004 13:00;20/05/2004 13:30;24.17
20/05/2004 13:30;20/05/2004 14:00;23.88
20/05/2004 14:00;20/05/2004 14:30;22.85
20/05/2004 14:30;20/05/2004 15:00;22.32
20/05/2004 15:00;20/05/2004 15:30;21.78
20/05/2004 15:30;20/05/2004 16:00;21.72
20/05/2004 16:00;20/05/2004 16:30;21.49
20/05/2004 16:30;20/05/2004 17:00;21.01
20/05/2004 17:00;20/05/2004 17:30;20.86
20/05/2004 17:30;20/05/2004 18:00;20.54
20/05/2004 18:00;20/05/2004 18:30;20.16
20/05/2004 18:30;20/05/2004 19:00;19.76
20/05/2004 19:00;20/05/2004 19:30;19.51
20/05/2004 19:30;20/05/2004 20:00;18.16
20/05/2004 20:00;20/05/2004 20:30;16.59
20/05/2004 20:30;20/05/2004 21:00;15.88
20/05/2004 21:00;20/05/2004 21:30;15.57
20/05/2004 21:30;20/05/2004 22:00;15.5
20/05/2004 22:00;20/05/2004 22:30;15.51
20/05/2004 22:30;20/05/2004 23:00;15.91
20/05/2004 23:00;20/05/2004 23:30;16.02
20/05/2004 23:30;21/05/2004 00:00;15.91
21/05/2004 00:00;21/05/2004 00:30;15.63
21/05/2004 00:30;21/05/2004 01:00;14.09
21/05/2004 01:00;21/05/2004 01:30;14.27
21/05/2004 01:30;21/05/2004 02:00;14.4
21/05/2004 02:00;21/05/2004 02:30;14.15
21/05/2004 02:30;21/05/2004 03:00;14.14
21/05/2004 03:00;21/05/2004 03:30;14.01
21/05/2004 03:30;21/05/2004 04:00;13.82
21/05/2004 04:00;21/05/2004 04:30;13.42
21/05/2004 04:30;21/05/2004 05:00;13
21/05/2004 05:00;21/05/2004 05:30;12.53
21/05/2004 05:30;21/05/2004 06:00;12.25
21/05/2004 06:00;21/05/2004 06:30;13.12
21/05/2004 06:30;21/05/2004 07:00;14.16
21/05/2004 07:00;21/05/2004 07:30;14.48
21/05/2004 07:30;21/05/2004 08:00;14.33
21/05/2004 08:00;21/05/2004 08:30;14.22
21/05/2004 08:30;21/05/2004 09:00;13.32
21/05/2004 09:00;21/05/2004 09:30;13
21/05/2004 09:30;21/05/2004 10:00;12.73
