jday	time	stemp	rad	atemp	rh
253	630	6.80	0.011	4.488	90.3
253	700	6.84	0.069	4.96	88.2
253	730	7.15	0.139	5.959	86.1
253	800	7.60	0.218	6.93	84.9
253	830	8.50	0.307	8	82.9
253	900	9.84	0.39	9.44	78.8
253	930	11.18	0.47	10.88	75
253	1000	12.36	0.543	12.25	70.3
253	1030	13.62	0.604	13.7	64.26
253	1100	14.82	0.588	14.56	60.04
253	1130	16.10	0.734	14.92	55.86
253	1200	17.55	0.768	15.66	56.28
253	1230	18.35	0.794	15.84	53.5
253	1300	18.98	0.767	16.55	54.06
253	1330	18.92	0.621	16.35	53.23
253	1400	18.18	0.61	16.7	54.01
253	1430	18.58	0.719	17.32	53.39
253	1500	18.69	0.682	17.91	50.24
253	1530	18.82	0.632	18.44	47.58
253	1600	18.20	0.427	17.82	48.34
253	1630	17.69	0.45	17.81	49.03
253	1700	17.11	0.32	17.85	49.62
253	1730	16.99	0.286	18.34	49.11
253	1800	16.31	0.182	17.59	49.76
253	1830	15.68	0.077	16.41	55.93
253	1900	15.02	0.021	14.58	64.2
253	1930	14.18	0.002	13.02	71.4
253	2000	13.41	0	12.01	73.2
253	2030	12.77	0	11.55	74.1
253	2100	12.30	0	10.81	77.1
253	2130	11.67	0	9.38	82.8
253	2200	11.22	0	9.62	82
253	2230	10.85	0	9.06	83.2
253	2300	10.45	0	8.21	86.1
253	2330	10.10	0	7.81	87.7
254	0	9.75	0	7.18	89
254	30	9.41	0	6.628	90.2
254	100	9.11	0	6.496	90.7
254	130	8.88	0	6.502	90.1
254	200	8.65	0	6.332	90.4
254	230	8.45	0	6.173	90
254	300	8.22	0	5.476	91
254	330	7.98	0	5.196	91.4
254	400	7.74	0	5.108	91.5
254	430	7.54	0	5.196	91.7
254	500	7.40	0	5.35	90.9
254	530	7.25	0	5.191	90.8
254	600	7.07	0	4.872	90.8
254	630	6.89	0.012	4.505	91.1
254	700	7.02	0.076	5.344	89.7
254	730	7.59	0.142	7.34	85.9
254	800	8.33	0.177	9.14	82.4
254	830	9.37	0.278	10.4	79.5
254	900	10.82	0.36	12.13	73.7
254	930	11.87	0.426	12.83	72.5
254	1000	12.82	0.506	13.59	71.7
254	1030	14.02	0.586	15.18	65.61
254	1100	15.16	0.639	16.39	61.64
254	1130	15.98	0.627	17.39	56.65
254	1200	15.92	0.416	17.24	52.36
254	1230	15.82	0.494	17.41	55.13
254	1300	16.13	0.397	17.78	56.63
254	1330	15.80	0.357	17.4	56.24
254	1400	16.39	0.487	18.03	56.18
254	1430	16.32	0.32	18.01	57.29
254	1500	15.90	0.183	17.87	55.3
254	1530	15.62	0.194	17.73	57.19
254	1600	15.33	0.167	17.5	57.25
254	1630	15.75	0.331	18.15	56.38
254	1700	15.81	0.213	18.1	57.04
254	1730	15.48	0.154	17.93	58.21
254	1800	15.26	0.083	17.67	61.01
254	1830	14.95	0.044	17.38	63.49
254	1900	14.69	0.023	17.42	63.36
254	1930	14.37	0.004	17.04	63.45
254	2000	14.00	0	16.81	60.52
254	2030	13.71	0	16.76	59.63
254	2100	13.61	0	17.26	58.76
254	2130	13.62	0	17.56	59.05
254	2200	13.70	0	17.71	60.66
254	2230	13.86	0	17.95	60.98
254	2300	13.97	0	17.97	61.15
254	2330	13.95	0	17.82	61.57
255	0	13.96	0	17.84	61.38
255	30	13.89	0	17.66	60.96
255	100	13.77	0	17.47	59.92
255	130	13.59	0	17.37	57.16
255	200	13.35	0	17.15	55.07
255	230	13.16	0	16.83	55.76
255	300	13.04	0	16.57	57.23
255	330	12.97	0	16.32	59.07
255	400	12.95	0	16.31	60.55
255	430	12.98	0	16.31	62.61
255	500	13.06	0	16.35	65.39
255	530	13.13	0	16.18	68.39
255	600	13.18	0	16.05	70.7
255	630	13.17	0.004	15.56	74.5
255	700	13.36	0.03	15.8	75.6
255	730	13.75	0.079	16.44	74.9
255	800	14.23	0.16	17.32	74
255	830	15.08	0.259	18.35	72.3
255	900	16.16	0.352	19.33	71.2
255	930	17.24	0.436	20.43	69.23
255	1000	18.40	0.514	21.48	68.35
255	1030	19.42	0.581	22.24	65.04
255	1100	20.44	0.634	23.12	58.96
255	1130	21.48	0.678	23.67	55.13
255	1200	22.27	0.707	24.01	54.19
255	1230	23.00	0.72	24.53	51.53
255	1300	23.46	0.725	24.94	48.9
255	1330	23.75	0.716	25.25	46.68
255	1400	23.97	0.692	25.58	46.33
255	1430	23.97	0.656	25.85	44.97
255	1500	23.90	0.61	26.01	43.37
255	1530	23.65	0.554	26.1	43.8
255	1600	23.19	0.488	26.12	42.73
255	1630	23.12	0.415	26.27	43.19
255	1700	22.85	0.335	26.12	43.4
255	1730	22.28	0.25	26.02	43.35
255	1800	21.41	0.169	25.73	45.25
255	1830	20.68	0.093	24.71	49.98
255	1900	19.90	0.02	22.41	59.01
255	1930	19.05	0.001	19.83	69.83
255	2000	18.37	0	18.41	74.9
255	2030	17.76	0	17.88	73.8
255	2100	17.17	0	16.74	78.5
255	2130	16.74	0	16.64	80.1
255	2200	16.36	0	16.1	82.3
255	2230	15.95	0	15.18	85.2
255	2300	15.48	0	13.9	88.4
255	2330	15.14	0	13.62	90.2
256	0	14.80	0	13.23	90.4
256	30	14.51	0	13.07	90.6
256	100	14.25	0	12.75	91.5
256	130	14.07	0	12.89	90.6
256	200	13.83	0	12.46	90.4
256	230	13.57	0	12.04	91.1
256	300	13.34	0	11.89	91.8
256	330	13.21	0	11.97	91.6
256	400	13.11	0	12.06	90.3
256	430	13.04	0	11.99	90.2
256	500	12.97	0	12.19	89.3
256	530	12.85	0	12.04	89.2
256	600	12.74	0	11.95	89.5
256	630	12.64	0.003	11.87	88.8
256	700	12.76	0.013	12.39	87.7
256	730	13.16	0.019	13.65	84.5
256	800	13.51	0.036	13.95	85.2
256	830	14.03	0.102	14.68	83.5
256	900	14.76	0.202	15.59	81
256	930	15.71	0.222	16.8	77.6
256	1000	16.15	0.158	17.37	76.8
256	1030	16.41	0.159	17.56	76.3
256	1100	16.83	0.184	18.09	75.7
256	1130	17.48	0.223	19.47	73.5
256	1200	18.29	0.272	20.88	71.1
256	1230	19.44	0.406	21.93	70.6
256	1300	20.70	0.414	23.32	71.2
256	1330	21.53	0.44	24.12	70.7
256	1400	22.96	0.529	24.72	67.84
256	1430	24.01	0.578	25.39	67.2
256	1500	24.60	0.53	26.01	67.42
256	1530	24.68	0.44	26.87	65.79
256	1600	24.51	0.378	27.09	64.87
256	1630	24.28	0.311	26.93	65.13
256	1700	24.07	0.22	26.75	65.65
256	1730	23.51	0.175	27.07	63.08
256	1800	22.98	0.109	26.7	65.5
256	1830	22.42	0.047	25.67	68.65
256	1900	21.80	0.012	24.24	73.6
256	1930	21.22	0.001	23.09	77.6
256	2000	20.75	0	22.42	79.3
256	2030	20.27	0	21.33	82.2
256	2100	19.81	0	20.77	83.9
256	2130	19.45	0	20.3	84.5
256	2200	19.12	0	19.97	84.7
256	2230	18.98	0	20.62	82.2
256	2300	18.91	0	20.79	80.4
256	2330	18.78	0	20.66	80.2
257	0	18.65	0	20.6	79.9
257	30	18.57	0	20.59	79.9
257	100	18.56	0	21.16	76.9
257	130	18.39	0	20.52	78.4
257	200	18.12	0	19.58	81.3
257	230	17.79	0	19.03	82.6
257	300	17.66	0	19.23	80.9
257	330	17.41	0	18.38	82.8
257	400	17.15	0	18.27	81.5
257	430	16.93	0	18.34	80.7
257	500	16.71	0	18.22	80.7
257	530	16.24	0	15.24	87.4
257	600	15.82	0	14.81	91.5
257	630	15.62	0.004	15.28	91.6
257	700	15.53	0.031	15.15	90.4
257	730	15.77	0.065	16.86	86.8
257	800	16.31	0.146	17.72	87.6
257	830	17.37	0.233	19.65	82.6
257	900	18.61	0.305	20.71	78.7
257	930	19.86	0.386	22.43	73.8
257	1000	20.95	0.445	24.47	66.65
257	1030	21.65	0.41	25.49	61.64
257	1100	22.44	0.569	26.07	60.26
257	1130	23.26	0.61	26.75	57.83
257	1200	23.80	0.597	27.24	54.57
257	1230	23.96	0.635	27.51	54.79
257	1300	24.71	0.655	28.42	51.06
257	1330	24.99	0.653	29	47.76
257	1400	25.13	0.639	29.33	45.44
257	1430	25.05	0.472	29.26	45.38
257	1500	24.85	0.558	29.16	45.75
257	1530	24.82	0.455	29.36	46.25
257	1600	24.55	0.43	29.34	42.05
257	1630	24.15	0.353	29.15	42.1
257	1700	23.81	0.269	28.93	43.85
257	1730	23.36	0.19	28.3	45.57
257	1800	22.71	0.115	27.53	46.65
257	1830	22.09	0.05	26.44	51.87
257	1900	21.48	0.009	24.92	57.19
257	1930	20.92	0	23.56	64.15
257	2000	20.44	0	22.35	69.43
257	2030	20.07	0	22.06	71.3
257	2100	19.68	0	20.8	75.5
257	2130	19.33	0	20.46	74.8
257	2200	19.05	0	20.35	73.2
257	2230	18.80	0	20.62	71.4
257	2300	18.74	0	21.31	69.37
257	2330	18.71	0	21.33	70.1
258	0	18.75	0	21.66	70.1
258	30	18.72	0	21.22	72.5
258	100	18.63	0	20.6	75.3
258	130	18.60	0	20.4	75.7
258	200	18.51	0	20.36	74.7
258	230	18.38	0	20.4	72.5
258	300	18.29	0	20.3	73.7
258	330	18.21	0	19.88	76.3
258	400	18.07	0	19.33	79.1
258	430	17.94	0	19.09	80.3
258	500	17.79	0	18.64	82.4
258	530	17.70	0	18.52	83.1
258	600	17.63	0	18.49	82.2
258	630	17.54	0.001	18.43	81.8
258	700	17.44	0.007	18.18	82.8
258	730	17.38	0.026	17.96	83.9
258	800	17.56	0.081	18.37	82.6
258	830	17.82	0.101	18.8	80.8
258	900	18.52	0.264	19.63	78.7
258	930	19.32	0.205	20.25	74.2
258	1000	19.41	0.194	20.47	74
258	1030	19.95	0.281	21.19	69.43
258	1100	21.36	0.57	22.68	64.37
258	1130	21.80	0.275	22.67	62.69
258	1200	21.48	0.409	22.53	64.77
258	1230	21.74	0.241	22.71	64.71
258	1300	21.39	0.188	22.4	65.7
258	1330	21.00	0.177	22.41	67.58
258	1400	20.78	0.111	22.03	68.49
258	1430	20.92	0.271	22.23	66.48
258	1500	22.18	0.541	23.64	61.2
258	1530	21.58	0.059	20.59	72.2
258	1600	20.56	0.142	20.09	72.9
258	1630	20.93	0.34	21.31	67.37
258	1700	20.77	0.2	21.43	66.45
258	1730	20.31	0.102	20.91	68.65
258	1800	19.76	0.041	20.23	70.2
258	1830	19.22	0.021	19.41	71
258	1900	18.72	0.005	18.69	72.6
258	1930	18.14	0	18.18	71.9
258	2000	17.68	0	17.72	73
258	2030	17.34	0	17.42	74.4
258	2100	17.06	0	16.87	77.6
258	2130	16.59	0	16.07	78.5
258	2200	16.13	0	15.11	81.8
258	2230	15.76	0	14.81	82.3
258	2300	15.47	0	14.83	80.1
258	2330	15.13	0	14.23	80.9
259	0	14.76	0	12.87	87.5
259	30	14.63	0	13.09	87.5
259	100	14.40	0	12.98	85.2
259	130	14.08	0	12.28	86.6
259	200	14.00	0	12.44	87.5
259	230	14.00	0	12.84	85.9
259	300	13.98	0	12.88	84.8
259	330	13.71	0	12.56	82.6
259	400	13.33	0	12.19	81.1
259	430	12.99	0	11.64	82.6
259	500	12.82	0	11.01	86.9
259	530	12.89	0	11.62	87
259	600	12.84	0	11.53	87.2
259	630	12.76	0.002	11.28	89.3
259	700	12.64	0.02	11.07	86.7
259	730	12.59	0.06	11.53	83
259	800	13.04	0.138	12.72	79
259	830	13.58	0.152	13.61	74.5

