Start;End;SoilTemp
30/05/2003 20:00;30/05/2003 21:00;12.388
30/05/2003 21:00;30/05/2003 22:00;12.046
30/05/2003 22:00;30/05/2003 23:00;11.798
30/05/2003 23:00;31/05/2003 00:00;11.696
31/05/2003 00:00;31/05/2003 01:00;11.606
31/05/2003 01:00;31/05/2003 02:00;11.444
31/05/2003 02:00;31/05/2003 03:00;11.156
31/05/2003 03:00;31/05/2003 04:00;10.986
31/05/2003 04:00;31/05/2003 05:00;10.986
31/05/2003 05:00;31/05/2003 06:00;11.048
31/05/2003 06:00;31/05/2003 07:00;11.444
31/05/2003 07:00;31/05/2003 08:00;12.048
31/05/2003 08:00;31/05/2003 09:00;12.962
31/05/2003 09:00;31/05/2003 10:00;14.01
31/05/2003 10:00;31/05/2003 11:00;14.618
31/05/2003 11:00;31/05/2003 12:00;15.232
31/05/2003 12:00;31/05/2003 13:00;17.396
31/05/2003 13:00;31/05/2003 14:00;21.62
31/05/2003 14:00;31/05/2003 15:00;22.944
31/05/2003 15:00;31/05/2003 16:00;23.076
31/05/2003 16:00;31/05/2003 17:00;21.82
31/05/2003 17:00;31/05/2003 18:00;19.946
31/05/2003 18:00;31/05/2003 19:00;19.568
31/05/2003 19:00;31/05/2003 20:00;16.338
31/05/2003 20:00;31/05/2003 21:00;14.17
31/05/2003 21:00;31/05/2003 22:00;13.728
31/05/2003 22:00;31/05/2003 23:00;12.858
31/05/2003 23:00;01/06/2003 00:00;12.464
01/06/2003 00:00;01/06/2003 01:00;12.582
01/06/2003 01:00;01/06/2003 02:00;12.768
01/06/2003 02:00;01/06/2003 03:00;12.596
01/06/2003 03:00;01/06/2003 04:00;12.504
01/06/2003 04:00;01/06/2003 05:00;12.25
01/06/2003 05:00;01/06/2003 06:00;12.032
01/06/2003 06:00;01/06/2003 07:00;12.022
01/06/2003 07:00;01/06/2003 08:00;11.884
01/06/2003 08:00;01/06/2003 09:00;12.224
01/06/2003 09:00;01/06/2003 10:00;12.276
01/06/2003 10:00;01/06/2003 11:00;12.186
01/06/2003 11:00;01/06/2003 12:00;11.858
01/06/2003 12:00;01/06/2003 13:00;12.152
01/06/2003 13:00;01/06/2003 14:00;12.3
01/06/2003 14:00;01/06/2003 15:00;11.998
01/06/2003 15:00;01/06/2003 16:00;12.038
01/06/2003 16:00;01/06/2003 17:00;11.904
01/06/2003 17:00;01/06/2003 18:00;11.654
01/06/2003 18:00;01/06/2003 19:00;11.442
01/06/2003 19:00;01/06/2003 20:00;11.35
01/06/2003 20:00;01/06/2003 21:00;11.194
01/06/2003 21:00;01/06/2003 22:00;11.126
01/06/2003 22:00;01/06/2003 23:00;10.97
01/06/2003 23:00;02/06/2003 00:00;10.758
02/06/2003 00:00;02/06/2003 01:00;10.59
02/06/2003 01:00;02/06/2003 02:00;10.402
02/06/2003 02:00;02/06/2003 03:00;10.244
02/06/2003 03:00;02/06/2003 04:00;9.891
02/06/2003 04:00;02/06/2003 05:00;8.8532
02/06/2003 05:00;02/06/2003 06:00;8.2462
02/06/2003 06:00;02/06/2003 07:00;8.6912
02/06/2003 07:00;02/06/2003 08:00;10.022
02/06/2003 08:00;02/06/2003 09:00;12.358
02/06/2003 09:00;02/06/2003 10:00;14.946
02/06/2003 10:00;02/06/2003 11:00;16.926
02/06/2003 11:00;02/06/2003 12:00;19.49
02/06/2003 12:00;02/06/2003 13:00;19.474
02/06/2003 13:00;02/06/2003 14:00;19.546
02/06/2003 14:00;02/06/2003 15:00;20.142
02/06/2003 15:00;02/06/2003 16:00;19.598
02/06/2003 16:00;02/06/2003 17:00;18.516
02/06/2003 17:00;02/06/2003 18:00;17.208
02/06/2003 18:00;02/06/2003 19:00;15.412
02/06/2003 19:00;02/06/2003 20:00;13.904
02/06/2003 20:00;02/06/2003 21:00;12.656
02/06/2003 21:00;02/06/2003 22:00;11.396
02/06/2003 22:00;02/06/2003 23:00;8.9432
02/06/2003 23:00;03/06/2003 00:00;8.1634
03/06/2003 00:00;03/06/2003 01:00;8.2532
03/06/2003 01:00;03/06/2003 02:00;7.9886
03/06/2003 02:00;03/06/2003 03:00;7.7774
03/06/2003 03:00;03/06/2003 04:00;7.4714
03/06/2003 04:00;03/06/2003 05:00;6.5374
03/06/2003 05:00;03/06/2003 06:00;6.471
03/06/2003 06:00;03/06/2003 07:00;7.586
03/06/2003 07:00;03/06/2003 08:00;9.356
03/06/2003 08:00;03/06/2003 09:00;11.97
03/06/2003 09:00;03/06/2003 10:00;13.808
03/06/2003 10:00;03/06/2003 11:00;15.53
03/06/2003 11:00;03/06/2003 12:00;17.742
03/06/2003 12:00;03/06/2003 13:00;19.606
03/06/2003 13:00;03/06/2003 14:00;19.634
03/06/2003 14:00;03/06/2003 15:00;19.61
03/06/2003 15:00;03/06/2003 16:00;19.436
03/06/2003 16:00;03/06/2003 17:00;18.342
03/06/2003 17:00;03/06/2003 18:00;16.872
03/06/2003 18:00;03/06/2003 19:00;15.326
03/06/2003 19:00;03/06/2003 20:00;13.542
03/06/2003 20:00;03/06/2003 21:00;10.982
03/06/2003 21:00;03/06/2003 22:00;9.0886
03/06/2003 22:00;03/06/2003 23:00;8.3488
03/06/2003 23:00;04/06/2003 00:00;7.292
04/06/2003 00:00;04/06/2003 01:00;7.1334
04/06/2003 01:00;04/06/2003 02:00;6.7652
04/06/2003 02:00;04/06/2003 03:00;5.8048
04/06/2003 03:00;04/06/2003 04:00;5.4366
04/06/2003 04:00;04/06/2003 05:00;4.8374
04/06/2003 05:00;04/06/2003 06:00;5.138
04/06/2003 06:00;04/06/2003 07:00;6.4902
04/06/2003 07:00;04/06/2003 08:00;8.768
04/06/2003 08:00;04/06/2003 09:00;11.792
04/06/2003 09:00;04/06/2003 10:00;15.142
04/06/2003 10:00;04/06/2003 11:00;18.526
04/06/2003 11:00;04/06/2003 12:00;21.17
04/06/2003 12:00;04/06/2003 13:00;23.438
04/06/2003 13:00;04/06/2003 14:00;23.682
04/06/2003 14:00;04/06/2003 15:00;24.044
04/06/2003 15:00;04/06/2003 16:00;23.386
04/06/2003 16:00;04/06/2003 17:00;22.646
04/06/2003 17:00;04/06/2003 18:00;20.906
04/06/2003 18:00;04/06/2003 19:00;19.314
04/06/2003 19:00;04/06/2003 20:00;17.306
04/06/2003 20:00;04/06/2003 21:00;14.326
04/06/2003 21:00;04/06/2003 22:00;12.358
04/06/2003 22:00;04/06/2003 23:00;11.268
04/06/2003 23:00;05/06/2003 00:00;10.0456
05/06/2003 00:00;05/06/2003 01:00;9.3472
05/06/2003 01:00;05/06/2003 02:00;8.7276
05/06/2003 02:00;05/06/2003 03:00;8.126
05/06/2003 03:00;05/06/2003 04:00;7.6582
05/06/2003 04:00;05/06/2003 05:00;7.1802
05/06/2003 05:00;05/06/2003 06:00;7.5244
05/06/2003 06:00;05/06/2003 07:00;9.336
05/06/2003 07:00;05/06/2003 08:00;11.296
05/06/2003 08:00;05/06/2003 09:00;14.136
05/06/2003 09:00;05/06/2003 10:00;15.968
05/06/2003 10:00;05/06/2003 11:00;16.632
05/06/2003 11:00;05/06/2003 12:00;16.42
05/06/2003 12:00;05/06/2003 13:00;14.126
05/06/2003 13:00;05/06/2003 14:00;14.074
05/06/2003 14:00;05/06/2003 15:00;12.826
05/06/2003 15:00;05/06/2003 16:00;13.218
05/06/2003 16:00;05/06/2003 17:00;13.476
05/06/2003 17:00;05/06/2003 18:00;13.43
05/06/2003 18:00;05/06/2003 19:00;13.646
05/06/2003 19:00;05/06/2003 20:00;13.364
05/06/2003 20:00;05/06/2003 21:00;13.066
05/06/2003 21:00;05/06/2003 22:00;12.762
05/06/2003 22:00;05/06/2003 23:00;12.722
05/06/2003 23:00;06/06/2003 00:00;12.682
06/06/2003 00:00;06/06/2003 01:00;12.472
06/06/2003 01:00;06/06/2003 02:00;12.374
06/06/2003 02:00;06/06/2003 03:00;12.252
06/06/2003 03:00;06/06/2003 04:00;12.062
06/06/2003 04:00;06/06/2003 05:00;11.81
06/06/2003 05:00;06/06/2003 06:00;11.578
06/06/2003 06:00;06/06/2003 07:00;11.378
06/06/2003 07:00;06/06/2003 08:00;11.928
06/06/2003 08:00;06/06/2003 09:00;13.69
06/06/2003 09:00;06/06/2003 10:00;16.602
06/06/2003 10:00;06/06/2003 11:00;19.122
06/06/2003 11:00;06/06/2003 12:00;21.11
06/06/2003 12:00;06/06/2003 13:00;22.11
06/06/2003 13:00;06/06/2003 14:00;22.9
06/06/2003 14:00;06/06/2003 15:00;22.85
06/06/2003 15:00;06/06/2003 16:00;21.778
06/06/2003 16:00;06/06/2003 17:00;21.032
