EZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
365,19900112,   10,    0,
365,19900113,    3,    0,
365,19900114,    3,    0,
365,19900115,   23,    0,
365,19900116,   16,    0,
365,19900117,    6,    0,
365,19900118,    2,    0,
365,19900119,    0,    0,
365,19900120,   54,    0,
365,19900121,    9,    0,
365,19900122,    7,    0,
365,19900123,    7,    0,
365,19900124,  127,    0,
365,19900125,   58,    0,
365,19900126,  108,    0,
365,19900127,   12,    0,
365,19900128,    8,    0,
365,19900129,   10,    0,
365,19900130,    7,    0,
365,19900131,    8,    0,
365,19900201,    2,    0,
365,19900202,   34,    0,
365,19900203,    1,    0,
365,19900204,  144,    0,
365,19900205,    0,    0,
365,19900206,    2,    0,
365,19900207,    0,    0,
365,19900208,   79,    0,
365,19900209,    4,    0,
365,19900210,    0,    0,
365,19900211,   79,    0,
365,19900212,   81,    0,
365,19900213,   31,    0,
365,19900214,   74,    0,
365,19900215,   52,    0,
365,19900216,   50,    0,
365,19900217,    0,    0,
365,19900218,   38,    0,
365,19900219,    6,    0,
365,19900220,    2,    0,
365,19900221,    0,    0,
365,19900222,    4,    0,
365,19900223,    1,    0,
365,19900224,    0,    0,
365,19900225,    0,    0,
365,19900226,   73,    0,
365,19900227,   23,    0,
365,19900228,   25,    0,
365,19900301,  327,    0,
365,19900302,   43,    0,
365,19900303,   10,    0,
365,19900304,    1,    0,
365,19900305,    0,    0,
365,19900306,   29,    0,
365,19900307,   10,    0,
365,19900308,    0,    0,
365,19900309,    0,    0,
365,19900310,   37,    0,
365,19900311,    1,    0,
365,19900312,    1,    0,
365,19900313,   10,    0,
365,19900314,    4,    0,
365,19900315,    0,    0,
365,19900316,    0,    0,
365,19900317,    0,    0,
365,19900318,    0,    0,
365,19900319,    0,    0,
365,19900320,   25,    0,
365,19900321,    1,    0,
365,19900322,    0,    0,
365,19900323,    0,    0,
365,19900324,    0,    0,
365,19900325,   61,    0,
365,19900326,   36,    0,
365,19900327,    1,    0,
365,19900328,    1,    0,
365,19900329,    0,    0,
365,19900330,    0,    0,
365,19900331,    1,    0,
