Start Shift;End Shift;Radiation
01/09/2005 07:00;01/09/2005 07:30;0.112
01/09/2005 07:30;01/09/2005 08:00;0.194
01/09/2005 08:00;01/09/2005 08:30;0.176
01/09/2005 08:30;01/09/2005 09:00;0.426
01/09/2005 09:00;01/09/2005 09:30;0.238
01/09/2005 09:30;01/09/2005 10:00;0.373
01/09/2005 10:00;01/09/2005 10:30;0.388
01/09/2005 10:30;01/09/2005 11:00;0.48
01/09/2005 11:00;01/09/2005 11:30;0.481
01/09/2005 11:30;01/09/2005 12:00;0.316
01/09/2005 12:00;01/09/2005 12:30;0.388
01/09/2005 12:30;01/09/2005 13:00;0.725
01/09/2005 13:00;01/09/2005 13:30;0.677
01/09/2005 13:30;01/09/2005 14:00;0.465
01/09/2005 14:00;01/09/2005 14:30;0.659
01/09/2005 14:30;01/09/2005 15:00;0.34
01/09/2005 15:00;01/09/2005 15:30;0.305
01/09/2005 15:30;01/09/2005 16:00;0.177
01/09/2005 16:00;01/09/2005 16:30;0.216
01/09/2005 16:30;01/09/2005 17:00;0.174
01/09/2005 17:00;01/09/2005 17:30;0.126
01/09/2005 17:30;01/09/2005 18:00;0.27
01/09/2005 18:00;01/09/2005 18:30;0.128
01/09/2005 18:30;01/09/2005 19:00;0.048
01/09/2005 19:00;01/09/2005 19:30;0.006
01/09/2005 19:30;01/09/2005 20:00;0
01/09/2005 20:00;01/09/2005 20:30;0
01/09/2005 20:30;01/09/2005 21:00;0
01/09/2005 21:00;01/09/2005 21:30;0
01/09/2005 21:30;01/09/2005 22:00;0
01/09/2005 22:00;01/09/2005 22:30;0
01/09/2005 22:30;01/09/2005 23:00;0
01/09/2005 23:00;01/09/2005 23:30;0
01/09/2005 23:30;02/09/2005 00:00;0
02/09/2005 00:00;02/09/2005 00:30;0
02/09/2005 00:30;02/09/2005 01:00;0
02/09/2005 01:00;02/09/2005 01:30;0
02/09/2005 01:30;02/09/2005 02:00;0
02/09/2005 02:00;02/09/2005 02:30;0
02/09/2005 02:30;02/09/2005 03:00;0
02/09/2005 03:00;02/09/2005 03:30;0
02/09/2005 03:30;02/09/2005 04:00;0
02/09/2005 04:00;02/09/2005 04:30;0
02/09/2005 04:30;02/09/2005 05:00;0
02/09/2005 05:00;02/09/2005 05:30;0
02/09/2005 05:30;02/09/2005 06:00;0.001
02/09/2005 06:00;02/09/2005 06:30;0.014
02/09/2005 06:30;02/09/2005 07:00;0.033
02/09/2005 07:00;02/09/2005 07:30;0.093
02/09/2005 07:30;02/09/2005 08:00;0.143
02/09/2005 08:00;02/09/2005 08:30;0.18
02/09/2005 08:30;02/09/2005 09:00;0.292
02/09/2005 09:00;02/09/2005 09:30;0.432
02/09/2005 09:30;02/09/2005 10:00;0.584
02/09/2005 10:00;02/09/2005 10:30;0.623
02/09/2005 10:30;02/09/2005 11:00;0.667
02/09/2005 11:00;02/09/2005 11:30;0.711
02/09/2005 11:30;02/09/2005 12:00;0.76
02/09/2005 12:00;02/09/2005 12:30;0.768
02/09/2005 12:30;02/09/2005 13:00;0.469
02/09/2005 13:00;02/09/2005 13:30;0.394
02/09/2005 13:30;02/09/2005 14:00;0.363
02/09/2005 14:00;02/09/2005 14:30;0.717
02/09/2005 14:30;02/09/2005 15:00;0.617
02/09/2005 15:00;02/09/2005 15:30;0.598
02/09/2005 15:30;02/09/2005 16:00;0.56
02/09/2005 16:00;02/09/2005 16:30;0.127
02/09/2005 16:30;02/09/2005 17:00;0.136
02/09/2005 17:00;02/09/2005 17:30;0.101
02/09/2005 17:30;02/09/2005 18:00;0.066
02/09/2005 18:00;02/09/2005 18:30;0.011
02/09/2005 18:30;02/09/2005 19:00;0.013
02/09/2005 19:00;02/09/2005 19:30;0.011
02/09/2005 19:30;02/09/2005 20:00;0
02/09/2005 20:00;02/09/2005 20:30;0
02/09/2005 20:30;02/09/2005 21:00;0
02/09/2005 21:00;02/09/2005 21:30;0
02/09/2005 21:30;02/09/2005 22:00;0
02/09/2005 22:00;02/09/2005 22:30;0
02/09/2005 22:30;02/09/2005 23:00;0
02/09/2005 23:00;02/09/2005 23:30;0
02/09/2005 23:30;03/09/2005 00:00;0
03/09/2005 00:00;03/09/2005 00:30;0
03/09/2005 00:30;03/09/2005 01:00;0
03/09/2005 01:00;03/09/2005 01:30;0
03/09/2005 01:30;03/09/2005 02:00;0
03/09/2005 02:00;03/09/2005 02:30;0
03/09/2005 02:30;03/09/2005 03:00;0
03/09/2005 03:00;03/09/2005 03:30;0
03/09/2005 03:30;03/09/2005 04:00;0
03/09/2005 04:00;03/09/2005 04:30;0
03/09/2005 04:30;03/09/2005 05:00;0
03/09/2005 05:00;03/09/2005 05:30;0
03/09/2005 05:30;03/09/2005 06:00;0.001
03/09/2005 06:00;03/09/2005 06:30;0.011
03/09/2005 06:30;03/09/2005 07:00;0.024
03/09/2005 07:00;03/09/2005 07:30;0.14
03/09/2005 07:30;03/09/2005 08:00;0.128
03/09/2005 08:00;03/09/2005 08:30;0.073
03/09/2005 08:30;03/09/2005 09:00;0.391
03/09/2005 09:00;03/09/2005 09:30;0.427
03/09/2005 09:30;03/09/2005 10:00;0.402
03/09/2005 10:00;03/09/2005 10:30;0.244
03/09/2005 10:30;03/09/2005 11:00;0.221
03/09/2005 11:00;03/09/2005 11:30;0.362
03/09/2005 11:30;03/09/2005 12:00;0.527
03/09/2005 12:00;03/09/2005 12:30;0.43
03/09/2005 12:30;03/09/2005 13:00;0.543
03/09/2005 13:00;03/09/2005 13:30;0.514
03/09/2005 13:30;03/09/2005 14:00;0.487
03/09/2005 14:00;03/09/2005 14:30;0.35
03/09/2005 14:30;03/09/2005 15:00;0.28
03/09/2005 15:00;03/09/2005 15:30;0.478
03/09/2005 15:30;03/09/2005 16:00;0.374
03/09/2005 16:00;03/09/2005 16:30;0.306
03/09/2005 16:30;03/09/2005 17:00;0.168
03/09/2005 17:00;03/09/2005 17:30;0.259
03/09/2005 17:30;03/09/2005 18:00;0.159
03/09/2005 18:00;03/09/2005 18:30;0.157
03/09/2005 18:30;03/09/2005 19:00;0.052
03/09/2005 19:00;03/09/2005 19:30;0.006
03/09/2005 19:30;03/09/2005 20:00;0
03/09/2005 20:00;03/09/2005 20:30;0
03/09/2005 20:30;03/09/2005 21:00;0
03/09/2005 21:00;03/09/2005 21:30;0
03/09/2005 21:30;03/09/2005 22:00;0
03/09/2005 22:00;03/09/2005 22:30;0
03/09/2005 22:30;03/09/2005 23:00;0
